Date,Open,High,Low,Close,Volume,return,sma_10,vol_10,Target_Price,Close_Lag_1
2015-01-02,26.25373154601412,26.36589219297874,26.010058397318563,26.0452938079834,28951268,,,,,
2015-01-05,25.96836811788302,26.021470863061097,25.46216358448599,25.502361297607425,41196796,,,,,
2015-01-06,25.55843913633975,25.616752868463585,24.86612919902259,24.91128921508789,57998800,,,,,
2015-01-07,25.161416803307933,25.173526423927843,24.796651262804016,24.86861228942871,41301082,,,,,
2015-01-08,24.714267718056615,24.986725633476457,24.36736762476095,24.947023391723636,67071641,,,,,
2015-01-09,25.050251743919507,25.058190674023155,24.55546010832052,24.623947143554688,41427428,,,,,
2015-01-12,24.562901411316886,24.614316515108207,24.196645680266425,24.44429016113281,46535413,,,,,
2015-01-13,24.75645100518798,24.96191020028506,24.436350021382477,24.624441146850582,47409807,,,,,
2015-01-14,24.54851064578521,24.97431785096186,24.46662311150123,24.857196807861328,44714427,,,,,
2015-01-15,25.09044868068968,25.095908356029163,24.70285349544494,24.902854919433597,54316718,,,,,
2015-01-16,24.814515209916884,25.220473179025664,24.814017840358712,25.21501350402832,45965854,0.012535052129750923,24.889702987670898,0.012515001025891433,25.15645217895508,24.902854919433597
2015-01-20,25.35992757737396,25.434367851649277,25.11258114795764,25.15645217895508,44640224,-0.0023224784338855553,24.855112075805664,0.01086976087146285,25.70931053161621,25.21501350402832
2015-01-21,25.17382384244374,25.770849575653177,25.121713938417617,25.70931053161621,45374234,0.02197680136802549,24.934914207458498,0.010130765245570468,26.520727157592773,25.15645217895508
2015-01-22,25.88002971969518,26.617006137382024,25.791693466239074,26.520727157592773,53538588,0.031561197449410994,25.1001256942749,0.013303779251777911,26.79665756225586,25.70931053161621
2015-01-23,26.5802809275982,26.90683251023514,26.451743171896197,26.79665756225586,45634948,0.01040433028187504,25.285089111328126,0.01329678313972778,26.561420440673828,26.520727157592773
2015-01-26,26.726186440353917,26.749511553127483,26.28648329101294,26.561420440673828,30874534,-0.008778599384475894,25.478836441040038,0.012641639559593281,25.73859024047852,26.79665756225586
2015-01-27,26.30137149682029,26.337601642430897,25.71675343854198,25.73859024047852,38080263,-0.030978395979730733,25.60826644897461,0.017166233296094246,25.31029891967773,26.561420440673828
2015-01-28,25.944545701225103,25.954967681365044,25.31029891967773,25.31029891967773,33676205,-0.016640045814445004,25.676852226257324,0.018474675162013524,25.343055725097656,25.73859024047852
2015-01-29,25.35993022251053,25.364395158714277,24.873574897031443,25.343055725097656,83727244,0.0012942085561249428,25.725438117980957,0.01833300233242081,26.527179718017575,25.31029891967773
2015-01-30,25.60112123114955,26.792689645119577,25.58424673437764,26.527179718017575,112127002,0.04672380496513129,25.887870597839356,0.02313155326947095,26.227428436279297,25.343055725097656
2015-02-02,26.388718562893366,26.4517459217874,25.73462059052724,26.227428436279297,56996054,-0.01129977950632588,25.989112091064452,0.023671168015434285,26.2651424407959,26.527179718017575
2015-02-03,26.20360339997358,26.471594466169915,25.968366586494906,26.2651424407959,40773638,0.0014379604393250922,26.099981117248536,0.023585857685764416,25.943553924560547,26.227428436279297
2015-02-04,26.26514321345657,26.435467610627416,25.869609118174168,25.943553924560547,33273101,-0.012243928124899495,26.12340545654297,0.023260003589779477,26.18276023864746,26.2651424407959
2015-02-05,25.99467101537612,26.22841952405443,25.910302329971916,26.18276023864746,36995292,0.009220260060841534,26.08960876464844,0.020974959467686616,26.352489471435547,25.943553924560547
2015-02-06,26.1857396747112,26.66018279731891,26.124696101088237,26.352489471435547,35270570,0.006482480504005572,26.045191955566406,0.020771926283925112,26.195167541503903,26.18276023864746
2015-02-09,26.203603840421486,26.402116939906257,26.105341080616853,26.195167541503903,25355423,-0.005969907704627686,26.008566665649415,0.020681035449034435,26.647279739379883,26.352489471435547
2015-02-10,26.268120857851788,26.684998198384942,26.150006971856715,26.647279739379883,34997823,0.017259374163560937,26.09943561553955,0.018470388454919412,26.599140167236328,26.195167541503903
